what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1483805181984
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1483805181985
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1483805181985
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1483805181986
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1483805181986
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1483805181987
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1483805181987
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1483805181988
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1483805181988
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1483805181990
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1483805181991
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1483805181992
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1483805181993
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1483805181993
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1483805181993
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1483805181994
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1483805181994
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1483805181995
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1483805181995
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1483805181996
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1483805181997
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1483805181998
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1483805181998
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1483805181999
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1483805181999
started,bundle,com.chookapp.org.Bracketeer,1.2.0.201203031719,"com.chookapp.org.Bracketeer",1483805182000
started,bundle,com.chookapp.org.BracketeerCDT,1.2.0.201203031719,"com.chookapp.org.BracketeerCDT",1483805182000
os,sysinfo,,,"macosx",1483805182003
arch,sysinfo,,,"x86_64",1483805182003
ws,sysinfo,,,"cocoa",1483805182003
locale,sysinfo,,,"en_GB",1483805182003
processors,sysinfo,,,"4",1483805182003
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1483805182003
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1483805182003
java.specification.name,sysinfo,,,"Java Platform API Specification",1483805182003
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1483805182003
java.specification.version,sysinfo,,,"1.6",1483805182003
java.vendor,sysinfo,,,"Apple Inc.",1483805182003
java.version,sysinfo,,,"1.6.0_65",1483805182003
java.vm.info,sysinfo,,,"mixed mode",1483805182003
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1483805182003
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1483805182003
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1483805182003
java.vm.specification.version,sysinfo,,,"1.0",1483805182003
java.vm.vendor,sysinfo,,,"Apple Inc.",1483805182003
java.vm.version,sysinfo,,,"20.65-b04-468",1483805182003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1483805185063
