what,kind,bundleId,bundleVersion,description,time
started,bundle,com.chookapp.org.Bracketeer,1.2.0.201203031719,"com.chookapp.org.Bracketeer",1476205231647
started,bundle,com.chookapp.org.BracketeerCDT,1.2.0.201203031719,"com.chookapp.org.BracketeerCDT",1476205231648
os,sysinfo,,,"macosx",1476205231650
arch,sysinfo,,,"x86_64",1476205231650
ws,sysinfo,,,"cocoa",1476205231650
locale,sysinfo,,,"en_US",1476205231650
processors,sysinfo,,,"4",1476205231650
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476205231650
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1476205231650
java.specification.name,sysinfo,,,"Java Platform API Specification",1476205231650
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476205231650
java.specification.version,sysinfo,,,"1.6",1476205231650
java.vendor,sysinfo,,,"Apple Inc.",1476205231650
java.version,sysinfo,,,"1.6.0_65",1476205231650
java.vm.info,sysinfo,,,"mixed mode",1476205231650
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1476205231650
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476205231650
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1476205231650
java.vm.specification.version,sysinfo,,,"1.0",1476205231650
java.vm.vendor,sysinfo,,,"Apple Inc.",1476205231650
java.vm.version,sysinfo,,,"20.65-b04-468",1476205231650
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1476205236795
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1476205237066
